time, Quad.Est.E.Pos, Quad.Est.S.Z
2.120029,0.075828,0.376907
2.125028,0.076020,0.377289
2.130028,0.076137,0.377544
2.135028,0.076292,0.377928
2.140027,0.076402,0.378184
2.145027,0.076620,0.378570
2.150027,0.076758,0.378829
2.155026,0.076988,0.379217
2.160026,0.077162,0.379476
2.165025,0.077411,0.379866
2.170025,0.077583,0.380127
2.175025,0.077872,0.380520
2.180024,0.078072,0.380782
2.185024,0.078339,0.381176
2.190024,0.078505,0.381440
2.195023,0.078764,0.381837
2.200023,0.078940,0.382102
2.205023,0.065205,0.379563
2.210022,0.065286,0.379814
2.215022,0.065396,0.380192
2.220021,0.065446,0.380445
2.225021,0.065535,0.380825
2.230021,0.065612,0.381079
2.235020,0.065745,0.381461
2.240020,0.065841,0.381717
2.245020,0.065962,0.382101
2.250019,0.066054,0.382358
2.255019,0.066244,0.382744
2.260019,0.066409,0.383002
2.265018,0.066695,0.383391
2.270018,0.066874,0.383650
2.275017,0.067131,0.384041
2.280017,0.067316,0.384302
2.285017,0.067568,0.384694
2.290016,0.067754,0.384956
2.295016,0.068028,0.385351
2.300016,0.068219,0.385615
2.305015,0.054555,0.383073
2.310015,0.054650,0.383323
2.315015,0.054713,0.383699
2.320014,0.054752,0.383951
2.325014,0.054759,0.384329
2.330014,0.054772,0.384582
2.335013,0.054789,0.384962
2.340013,0.054807,0.385217
2.345012,0.054832,0.385599
2.350012,0.054822,0.385855
2.355012,0.054807,0.386239
2.360011,0.054829,0.386496
2.365011,0.054867,0.386882
2.370011,0.054911,0.387140
2.375010,0.054963,0.387529
2.380010,0.055002,0.387788
2.385010,0.055078,0.388179
2.390009,0.055170,0.388440
2.395009,0.055272,0.388832
2.400008,0.055341,0.389094
2.405008,0.105530,0.386551
2.410008,0.105750,0.386800
2.415007,0.106113,0.387174
2.420007,0.106381,0.387425
2.425007,0.106773,0.387801
2.430006,0.107013,0.388053
2.435006,0.107330,0.388431
2.440006,0.107536,0.388684
2.445005,0.107839,0.389064
2.450005,0.108031,0.389318
2.455004,0.108347,0.389701
2.460004,0.108554,0.389956
2.465004,0.108858,0.390341
2.470003,0.109106,0.390598
2.475003,0.109507,0.390984
2.480003,0.109776,0.391242
2.485002,0.110172,0.391630
2.490002,0.110425,0.391890
2.495002,0.110826,0.392280
2.500001,0.111095,0.392541
2.505001,0.116518,0.389998
2.510000,0.116804,0.390245
2.515000,0.117240,0.390618
2.520000,0.117532,0.390867
2.524999,0.117928,0.391241
2.529999,0.118195,0.391492
2.534999,0.118603,0.391868
2.539998,0.118888,0.392120
2.544998,0.119311,0.392498
2.549998,0.119594,0.392751
2.554997,0.120047,0.393131
2.559997,0.120362,0.393385
2.564996,0.120822,0.393768
2.569996,0.121104,0.394023
2.574996,0.121519,0.394407
2.579995,0.121772,0.394664
2.584995,0.122166,0.395050
2.589995,0.122430,0.395308
2.594994,0.122834,0.395696
2.599994,0.123143,0.395956
2.604994,0.119257,0.393413
2.609993,0.119537,0.393660
2.614993,0.119930,0.394030
2.619992,0.120144,0.394278
2.624992,0.120459,0.394651
2.629992,0.120652,0.394899
2.634991,0.120938,0.395274
2.639991,0.121126,0.395524
2.644991,0.121374,0.395900
2.649990,0.121521,0.396152
2.654990,0.121747,0.396530
2.659990,0.121916,0.396783
2.664989,0.122136,0.397163
2.669989,0.122268,0.397417
2.674989,0.122468,0.397799
2.679988,0.122568,0.398055
2.684988,0.122723,0.398439
2.689987,0.122828,0.398695
2.694987,0.122977,0.399081
2.699987,0.123098,0.399339
2.704986,0.102557,0.396799
2.709986,0.102646,0.397044
2.714986,0.102759,0.397413
2.719985,0.102864,0.397659
2.724985,0.102997,0.398029
2.729985,0.103072,0.398277
2.734984,0.103164,0.398649
2.739984,0.103223,0.398898
2.744983,0.103328,0.399272
2.749983,0.103418,0.399523
2.754983,0.103565,0.399899
2.759982,0.103633,0.400150
2.764982,0.103737,0.400528
2.769982,0.103794,0.400781
2.774981,0.103898,0.401161
2.779981,0.103959,0.401415
2.784981,0.104015,0.401797
2.789980,0.104078,0.402052
2.794980,0.104141,0.402435
2.799979,0.104181,0.402692
2.804979,0.152213,0.400154
2.809979,0.152394,0.400398
2.814978,0.152688,0.400765
2.819978,0.152894,0.401010
2.824978,0.153227,0.401378
2.829977,0.153469,0.401624
2.834977,0.153826,0.401995
2.839977,0.154068,0.402242
2.844976,0.154432,0.402614
2.849976,0.154654,0.402863
2.854975,0.155011,0.403237
2.859975,0.155274,0.403487
2.864975,0.155683,0.403863
2.869974,0.155961,0.404114
2.874974,0.156318,0.404492
2.879974,0.156560,0.404745
2.884973,0.156919,0.405124
2.889973,0.157147,0.405378
2.894973,0.157503,0.405759
2.899972,0.157761,0.406015
2.904972,0.124692,0.403481
2.909971,0.124840,0.403723
2.914971,0.125035,0.404088
2.919971,0.125164,0.404331
2.924970,0.125334,0.404698
2.929970,0.125450,0.404943
2.934970,0.125643,0.405311
2.939969,0.125785,0.405557
2.944969,0.126020,0.405927
2.949969,0.126186,0.406174
2.954968,0.126415,0.406546
2.959968,0.126550,0.406795
2.964967,0.126794,0.407169
2.969967,0.126956,0.407418
2.974967,0.127196,0.407794
2.979966,0.127341,0.408045
2.984966,0.127555,0.408422
2.989966,0.127715,0.408675
2.994965,0.128004,0.409054
2.999965,0.128173,0.409308
3.004965,0.075941,0.406778
3.009964,0.076019,0.407019
3.014964,0.076106,0.407382
3.019964,0.076189,0.407624
3.024963,0.076323,0.407989
3.029963,0.076402,0.408232
3.034962,0.076532,0.408598
3.039962,0.076631,0.408843
3.044962,0.076780,0.409211
3.049961,0.076881,0.409457
3.054961,0.077043,0.409827
3.059961,0.077157,0.410074
3.064960,0.077336,0.410445
3.069960,0.077468,0.410694
3.074960,0.077693,0.411067
3.079959,0.077840,0.411317
3.084959,0.078086,0.411692
3.089958,0.078225,0.411943
3.094958,0.078444,0.412320
3.099958,0.078624,0.412572
3.104957,0.032940,0.410048
3.109957,0.033010,0.410287
3.114957,0.033131,0.410648
3.119956,0.033207,0.410889
3.124956,0.033348,0.411251
3.129956,0.033445,0.411493
3.134955,0.033593,0.411857
3.139955,0.033681,0.412101
3.144954,0.033827,0.412466
