time, Quad.IMU.AX
4.529854,-0.146536
4.534854,-0.455029
4.539854,-0.946446
4.544853,0.687913
4.549853,0.051737
4.554852,-0.445156
4.559852,-0.151850
4.564852,-0.042561
4.569851,0.151642
4.574851,-0.493223
4.579851,0.758034
4.584850,-0.358258
4.589850,-0.151592
4.594850,1.534081
4.599849,-0.612094
4.604849,-0.300909
4.609848,0.865021
4.614848,0.243920
4.619848,-0.388607
4.624847,0.006395
4.629847,0.090983
4.634847,0.326437
4.639846,-0.058218
4.644846,0.383113
4.649846,-0.081398
4.654845,-0.743038
4.659845,0.179071
4.664845,-0.343652
4.669844,0.157443
4.674844,0.254756
4.679843,0.249325
4.684843,-0.313400
4.689843,1.291600
4.694842,-0.718711
4.699842,-0.673049
4.704842,-1.032612
4.709841,0.081406
4.714841,-0.797372
4.719841,0.636949
4.724840,-0.937628
4.729840,-0.700455
